#	English - EN	Spanish - ES	#Korean - KO	Chinese Simplified - ZH	#Chinese Traditional - ZH	#Japanese - JA	#Russian - RU	French - FR
#VERSION								
#								
LAUNCH_NOT_DETECTED	Launcher not detected...	Launcher no detectado...	버전 확인중...	新版检查中...	檢查版本...	バージョンを確認しています…	Лаунчер не обнаружен...	Vérification de la version...
#								
#TITLE								
#								
TITLE_PRESS	PRESS {Shift key}	PRESIONA {Shift key}	{Shift key}를 누르세요	按 {Shift key}	按 {Shift key}	{Shift key}ではじめる	НАЖМИТЕ {Shift key}	APPUYEZ SUR {Shift key}
TITLE_MADE	MADE BY	HECHO POR	제작 : 	作者	作者	制作者	СОЗДАНО	CRÉÉ PAR
#								
#FILES								
#								
FILES_FILE	FILE {Number}	DATA {Number}	파일 {Number}	记录 {Number}	存檔 {Number}	ファイル {Number}	ФАЙЛЫ {Number}	FICHIER {Number}
FILES_SETTINGS	SETTINGS	OPCIONES	설정	游戏设置	設置	設定	НАСТРОЙКИ	PARAMÈTRES
FILES_DISCORD	DISCORD	DISCORD	디스코드	DISCORD	DISCORD	DISCORD	DISCORD	DISCORD
FILES_WEBSITE	WEBSITE	WEBSITE	웹사이트	官方网站	官方網站	公式サイト	САЙТ	SITE WEB
FILES_START	START	INICIAR	시작	开始	開始	スタート	НАЧАТЬ	COMMENCER
FILES_RESTORE	RESTORE	RESTAURAR	복구	恢复	恢復	復元	ВОССТАНОВИТЬ	RESTAURER
FILES_DELETE	DELETE	BORRAR	삭제	删除	刪除	削除	УДАЛИТЬ	SUPPRIMER
FILES_OFFLINE	OFFLINE	OFFLINE	오프라인	离线模式	離線模式	オフライン	ОФФЛАЙН	HORS LIGNE
FILES_ONLINE	ONLINE	ONLINE	온라인	联机模式	線上模式	オンライン	ОНЛАЙН	EN LIGNE
FILES_NAME	NAME	NOMBRE	이름	名字	暱稱	名前	ИМЯ	NOM
FILES_ENTER_NAME	Enter your name.	Introduce tu nombre.	이름을 입력하세요.	输入你的昵称	輸入你的暱稱	名前を入れてください。	Введите своё имя	Entrez votre nom
FILES_CANCEL	CANCEL	CANCELAR	취소	取消	取消	キャンセル	ОТМЕНА	ANNULER
FILES_ONLINE_DATA	ONLINE DATA	DATOS DE CONEXIÓN	온라인 정보	联机信息	線上信息	オンラインデータ	Серверы	DONNÉES EN LIGNE
FILES_IP	IP	IP	IP	IP	IP	IP	IP	IP
